R	1A1	2A1	3A1	4A1	5A1	6A1	7A1	8A1	9A1	10A1	11A1	12A1	13A1	1B1	2B1	3B1	4B1	5B1	6B1	7B1	8B1	9B1	10B1	11B1	12B1	1B2	2B2	3B2	4B2	5B2	6B2	7B2	8B2	9B2	10B2	11B2	12B2	1A2	2A2	3A2	4A2	5A2	6A2	7A2	8A2	9A2	10A2	11A2	12A2
3.52	141.697210671	93186.4083293	93714.681569	95159.3140628	104461.324864	104645.222657	104827.384405	105431.91191	105807.044532	106337.431312	106487.167878	107254.168062	109175.211941	93240.7063528	93749.1961493	95129.3601653	103344.317514	104410.626225	104598.516261	104939.244039	105749.818717	105807.564686	106260.160879	106532.632048	107595.187743	93240.7239107	93749.1742018	95129.3667495	103344.317514	104410.637198	104598.522845	104939.228676	105749.814327	105807.566881	106260.165268	106532.627658	107595.187743	93186.4083293	93264.0035847	94533.3021861	103346.806356	104470.44184	104649.030541	104884.711178	105777.231098	105818.534028	106266.220574	106481.206947	107529.54727
3.47	149.925314564	93212.1439244	93741.2204412	95187.6372638	104456.147458	104640.978017	104823.967185	105438.351295	105808.914455	106352.004427	106520.71677	107289.674668	109178.28678	93268.4962304	93777.115517	95155.4776463	103345.634361	104405.455402	104593.799751	104934.942337	105762.736993	105818.378202	106276.505155	106568.461281	107638.430829	93268.5115936	93777.0935695	95155.4864253	103345.634361	104405.464181	104593.806335	104934.924779	105762.732604	105818.380396	106276.511739	106568.454697	107638.430829	93212.1439244	93292.9237567	94560.9384315	103348.156125	104465.303939	104644.768344	104881.034978	105801.340386	105820.540027	106281.752793	106514.595623	107572.625751
3.42	158.85793198	93239.1941725	93768.9817872	95216.9766323	104450.524518	104636.039838	104819.702793	105443.901809	105809.419247	106366.351484	106554.096667	107324.110238	109179.579486	93297.4690763	93806.1849317	95182.7298111	103346.365212	104399.860994	104588.413843	104929.857109	105769.610939	105830.820218	106294.701796	106603.875708	107680.631411	93297.4822448	93806.1607895	95182.7363953	103346.367407	104399.869773	104588.420428	104929.839551	105769.606549	105830.822413	106294.706186	106603.875708	107680.631411	93239.1941725	93322.9786125	94589.7927611	103348.915507	104459.71392	104639.816996	104876.505022	105814.4518	105829.016137	106299.119821	106547.824082	107614.688063
3.38	166.581244223	93261.8483439	93792.1188027	95241.1890735	104445.737776	104631.602061	104815.677628	105447.711888	105808.912261	106377.621506	106580.486296	107350.765431	109179.245885	93321.538859	93830.292025	95205.3927613	103346.538597	104395.115952	104583.629296	104925.230584	105771.906643	105840.736082	106310.409596	106631.729233	107713.473594	93321.5542222	93830.2678828	95205.4015403	103346.538597	104395.126926	104583.635881	104925.215221	105771.904449	105840.738277	106310.413985	106631.729233	107713.475789	93261.8483439	93347.8560619	94613.7901172	103349.11084	104454.95571	104635.366051	104872.273551	105813.962372	105843.453178	106314.18017	106574.099584	107647.438068
3.33	177.133584446	93291.5213138	93822.2592536	95272.3764184	104439.443243	104625.456771	104809.874719	105451.715106	105807.237669	106391.380371	106612.836857	107382.806533	109176.796548	93352.7898516	93861.5276544	95234.8660094	103346.29937	104388.907015	104577.06481	104918.762667	105772.110755	105851.902951	106331.286022	106665.725853	107753.213866	93352.8052148	93861.5057069	95234.8725937	103346.29937	104388.917989	104577.073589	104918.747304	105772.10856	105851.905146	106331.292607	106665.723658	107753.21606	93291.5213138	93380.0266531	94644.9774621	103348.895754	104448.68971	104629.207593	104866.233609	105812.307533	105858.544254	106334.29063	106606.316265	107687.090549
3.29	186.36029785	93316.4207106	93847.4176304	95298.1054293	104434.215358	104620.086227	104804.624886	105454.355385	105805.146076	106402.097317	106638.047907	107407.332822	109173.456144	93378.7690635	93887.4278555	95259.4142468	103345.770436	104383.773504	104571.371638	104913.058521	105770.754402	105859.338752	106348.563065	106692.115483	107783.784487	93378.7844267	93887.405908	95259.4230257	103345.770436	104383.784477	104571.376028	104913.045353	105770.752207	105859.338752	106348.567455	106692.113288	107783.786682	93316.4207106	93406.6401468	94670.9215581	103348.384379	104443.483771	104623.82388	104860.812586	105810.226914	105868.282343	106351.005818	106631.426358	107717.599717
3.25	196.429793903	93342.4350385	93873.5658379	95324.536759	104428.886514	104614.342576	104798.848313	105456.550132	105802.464096	106412.528946	106662.539081	107430.79905	109168.689155	93405.6700689	93914.1796181	95284.8952513	103345.019832	104378.571955	104565.309749	104906.911037	105768.414802	105865.328214	106366.114451	106717.673303	107813.176529	93405.6854322	93914.1576706	95284.9062251	103345.019832	104378.582929	104565.316333	104906.895674	105768.410413	105865.330409	106366.118841	106717.668914	107813.178724	93342.4350385	93434.0722808	94697.7984213	103347.642554	104438.172485	104618.069255	104854.893355	105807.555908	105876.126366	106368.056802	106655.818768	107746.94567
3.21	207.482536255	93369.6608664	93900.771913	95351.6901602	104423.531333	104608.267518	104792.571339	105458.369576	105799.281714	106422.659895	106686.205031	107453.143762	109162.451686	93433.5543206	93941.8246425	95311.3858391	103344.115597	104373.383575	104558.927427	104900.35094	105765.307041	105869.910845	106383.652669	106742.302746	107841.302203	93433.5674891	93941.802695	95311.3924234	103344.115597	104373.392354	104558.931816	104900.337772	105765.304846	105869.910845	106383.657059	106742.300551	107841.300008	93369.6608664	93462.3515868	94725.6629203	103346.747098	104432.832668	104611.983224	104848.504448	105804.384499	105882.260682	106385.151681	106679.392538	107775.031839
3.17	219.667767723	93398.2079315	93929.1258404	95379.5963594	104418.252968	104601.915923	104785.826883	105459.905899	105795.695498	106432.490164	106708.968939	107474.336232	109154.715205	93462.4832716	93970.4243816	95338.9694106	103343.156493	104368.309321	104552.270761	104893.430905	105761.615478	105873.19638	106400.877038	106765.93358	107868.080303	93462.4986349	93970.4024341	95338.9781896	103343.156493	104368.320295	104552.275151	104893.413347	105761.611088	105873.19638	106400.881428	106765.92919	107868.080303	93398.2079315	93491.5241546	94754.5808976	103345.792383	104427.565276	104605.620654	104841.687566	105800.809257	105886.898181	106401.998553	106702.064268	107801.777017
3.13	233.185210203	93428.1969449	93958.724189	95408.294862	104413.169935	104595.355826	104778.652258	105461.268836	105791.815187	106442.028531	106730.76716	107494.358903	109145.455571	93492.542517	94000.0293144	95367.7535084	103342.250063	104363.47649	104545.4034	104886.197021	105757.489355	105875.353815	106417.453957	106788.50874	107893.447181	93492.5578802	94000.007367	95367.7600926	103342.250063	104363.487463	104545.40779	104886.181658	105757.484965	105875.35601	106417.458346	106788.506545	107893.447181	93428.1969449	93521.6272949	94784.6247797	103344.881563	104422.477855	104599.051779	104834.493188	105796.93992	105890.273701	106418.255039	106723.776893	107827.117558
3.09	248.263117244	93459.7969022	93989.6986436	95437.838342	104408.435868	104588.683797	104771.11111	105462.612021	105787.790022	106451.310113	106751.584328	107513.235916	109134.681561	93523.8395992	94030.7513731	95397.8785961	103341.569691	104359.069439	104538.428496	104878.732689	105753.108641	105876.6136	106433.192483	106810.019449	107917.394057	93523.8549624	94030.7294256	95397.8873751	103341.569691	104359.080413	104538.435081	104878.717326	105753.104252	105876.615795	106433.199067	106810.015059	107917.394057	93459.7969022	93552.7531869	94815.9130829	103344.194608	104417.743787	104592.37536	104826.98935	105792.930118	105892.672559	106433.738974	106744.506271	107851.038098
3.05	265.167053282	93493.1855776	94022.1852783	95468.2948364	104404.230734	104582.013963	104763.28245	105464.108838	105783.780221	106460.381	106771.424835	107531.024335	109122.419513	93556.4886452	94062.691516	95429.5005008	103341.284374	104355.270333	104531.442619	104871.127893	105748.637943	105877.210571	106447.809493	106830.474484	107939.907765	93556.5040084	94062.6673738	95429.507085	103341.284374	104355.281307	104531.447008	104871.11253	105748.633554	105877.212766	106447.813882	106830.470095	107939.90557	93493.1855776	93584.9720626	94848.5555447	103343.896122	104413.532069	104585.703332	104819.266038	105788.937875	105894.366903	106448.154068	106764.261183	107873.518884
3.01	284.199893198	93528.5868354	94056.3618677	95499.7389666	104400.776203	104575.493372	104755.258457	105465.980957	105779.98331	106469.322396	106790.343548	107547.822923	109108.719907	93590.6345081	94095.9836226	95462.8101654	103341.607002	104352.322789	104524.584037	104863.50115	105744.279177	105877.430045	106461.089903	106849.937494	107961.030003	93590.6498713	94095.9638699	95462.8167496	103341.607002	104352.331568	104524.590621	104863.485787	105744.276982	105877.427851	106461.096487	106849.933105	107961.027809	93528.5868354	93618.3826855	94882.7079919	103344.196803	104410.057785	104579.18713	104811.428599	105785.160716	105895.672777	106461.289625	106783.09869	107894.601617
2.98	300.105219602	93556.6225246	94083.2365361	95524.0523661	104398.836047	104570.809783	104749.183399	105467.793817	105777.422041	106476.003204	106803.992675	107559.86769	109097.559622	93617.331402	94121.9518609	95489.0439679	103342.427837	104350.84792	104519.62391	104857.854068	105741.22848	105877.526614	106470.070805	106863.948755	107976.004757	93617.3467653	94121.9299134	95489.0549416	103342.427837	104350.858893	104519.628299	104857.83651	105741.226285	105877.528809	106470.077389	106863.94656	107976.004757	93556.6225246	93644.3070288	94909.4268333	103344.993496	104408.093487	104574.510125	104805.562042	105782.6192	105896.601154	106470.1981	106796.686365	107909.541255
2.94	323.830427137	93596.2113584	94120.9005774	95557.5376104	104397.354594	104565.006874	104741.111122	105471.006926	105774.606181	106484.979716	106821.581372	107575.338457	109081.592843	93654.5191834	94158.0642165	95525.9113163	103344.539183	104350.134627	104513.401804	104850.545562	105737.664212	105877.847047	106480.631924	106881.974206	107994.92347	93654.5345466	94158.0400743	95525.9200952	103344.539183	104350.145601	104513.406194	104850.530199	105737.659822	105877.849242	106480.636313	106881.972011	107994.921276	93596.2113584	93680.1252885	94946.6870412	103347.063141	104406.565944	104568.731358	104797.862872	105779.831872	105898.062855	106480.706545	106814.189466	107928.383152
2.91	343.760918279	93627.7871735	94150.7030374	95583.5497436	104397.264609	104561.139731	104735.180918	105474.215645	105773.129117	106491.862441	106834.455754	107586.669932	109068.900625	93683.7444251	94186.4159492	95555.1607002	103347.082894	104350.757935	104509.15497	104845.348403	105735.539697	105878.446213	106487.440027	106895.133905	108008.434329	93683.7575936	94186.391807	95555.1694792	103347.082894	104350.766714	104509.161554	104845.330845	105735.537502	105878.446213	106487.446611	106895.129515	108008.434329	93627.7871735	93708.0380719	94976.0307993	103349.567347	104406.423285	104564.892747	104792.292606	105778.37895	105899.557478	106487.516843	106827.002395	107941.830363
2.87	373.600688966	93672.7311882	94192.714871	95619.4140929	104398.827268	104556.886313	104727.58929	105479.921985	105772.32145	106501.403003	106851.429922	107601.712723	109051.368991	93724.6896121	94226.1606099	95596.6062893	103352.119837	104353.516731	104504.269465	104838.977055	105733.750979	105880.06813	106495.020681	106912.439479	108025.753072	93724.7071701	94226.1364677	95596.6128736	103352.119837	104353.527705	104504.276049	104838.961691	105733.746589	105880.06813	106495.02507	106912.43509	108025.753072	93672.7311882	93746.8170442	95017.2613032	103354.538447	104407.889376	104560.696392	104785.319897	105777.612984	105902.445764	106495.145781	106843.890968	107959.039368
2.84	398.860024135	93708.8435438	94226.2264523	95647.6056091	104401.500469	104554.590608	104722.256057	105485.553704	105772.8438	106508.961709	106864.216514	107613.153936	109037.669385	93757.0467568	94257.6332719	95629.7732954	103357.406981	104357.337784	104501.352647	104834.769726	105733.428351	105882.177282	106499.585753	106925.443351	108038.410174	93757.0643148	94257.6113244	95629.7842691	103357.406981	104357.346563	104501.357037	104834.754363	105733.423962	105882.177282	106499.590142	106925.438962	108038.407979	93708.8435438	93777.2055015	95049.9827758	103359.768528	104410.468203	104558.462141	104780.568271	105778.170449	105905.571083	106499.78767	106856.613912	107971.586733
2.8	436.910340731	93760.6768672	94273.8919525	95686.9881367	104407.457011	104553.124518	104715.847398	105495.357636	105775.481885	106519.819119	106881.730589	107629.087794	109019.130363	93802.6535849	94302.201985	95677.2171262	103366.956322	104365.278376	104498.740899	104830.173927	105734.780315	105886.634811	106504.260563	106943.205433	108055.182425	93802.6689481	94302.1800375	95677.2259052	103366.956322	104365.28935	104498.743094	104830.156369	105734.773731	105886.637006	106504.264952	106943.201043	108055.182425	93760.6768672	93819.6935952	95096.3775179	103369.219105	104416.251359	104557.112372	104775.109937	105780.861208	105911.485924	106504.62489	106874.038003	107988.185599
2.77	469.195058815	93802.6887009	94312.1617437	95718.067939	104413.990771	104553.556883	104711.730054	105504.810408	105779.267822	106528.727594	106895.526764	107641.902918	109005.27054	93838.9020148	94337.8907546	95715.5549545	103376.367394	104373.783018	104497.95518	104827.68289	105737.462295	105891.566406	106506.78891	106957.161825	108067.98438	93838.917378	94337.8688071	95715.5659283	103376.369589	104373.793992	104497.959569	104827.665332	105737.4601	105891.568601	106506.7933	106957.157435	108067.98438	93802.6887009	93853.2073712	95133.5565202	103378.540193	104422.611734	104557.669837	104771.866102	105784.69543	105917.591708	106507.322234	106887.768336	108000.820754
2.74	505.188898119	93847.7556214	94352.8720928	95750.6752848	104422.526139	104555.677007	104708.367702	105516.449148	105784.95441	106538.470073	106910.218396	107655.804441	108991.555571	93877.0884057	94375.8423076	95756.6076841	103388.076365	104384.873071	104498.387545	104826.201436	105741.915435	105898.203319	106508.592992	106971.99831	108081.282348	93877.1059636	94375.8203601	95756.6164631	103388.076365	104384.88185	104498.391934	104826.183878	105741.91324	105898.203319	106508.597381	106971.99392	108081.282348	93847.7556214	93888.3123382	95173.0817063	103390.146011	104430.918849	104559.958957	104769.533087	105790.434692	105925.477431	106509.34579	106902.391931	108013.921194
2.71	545.247407626	93896.2660988	94396.3061221	95785.0472067	104433.229917	104559.926036	104705.92495	105530.671104	105792.91256	106549.246277	106926.152254	107671.226923	108978.571451	93917.3971162	94416.4078035	95800.7330585	103402.469512	104398.963343	104500.24869	104825.927093	105748.49309	105906.89232	106509.813271	106988.059463	108095.40554	93917.4146742	94416.385856	95800.7418374	103402.469512	104398.972122	104500.253079	104825.909535	105748.4887	105906.894515	106509.81766	106988.055074	108095.40554	93896.2660988	93925.1840761	95215.2822882	103404.411862	104441.330725	104564.438435	104768.301834	105798.454295	105935.487669	106510.838217	106918.257752	108027.818328
2.67	605.978232464	93967.064225	94459.0758662	95834.2468344	104451.055646	104569.953832	104704.430327	105554.435817	105807.812693	106565.579579	106950.046457	107694.912625	108962.75172	93974.763395	94475.281873	95865.074241	103426.585384	104423.2526	104505.358059	104827.818964	105761.284071	105922.352113	106510.864554	107012.109493	108116.20954	93974.7787583	94475.2599255	95865.08302	103426.585384	104423.261379	104505.360254	104827.803601	105761.279682	105922.354307	106510.868944	107012.105104	108116.20954	93967.064225	93977.436596	95276.3730514	103428.321428	104458.63191	104574.894206	104768.747368	105813.444412	105952.819581	106512.359176	106942.06197	108048.258
2.64	657.730350227	94025.4071659	94510.1629759	95873.8312787	104467.039983	104581.82302	104704.904393	105576.545691	105822.8489	106579.606203	106970.582698	107715.71882	108952.543955	94020.7564985	94523.6870026	95918.0927274	103449.015691	104446.301826	104511.542854	104831.262521	105774.538144	105937.423436	106511.562483	107032.757666	108133.903585	94020.7718617	94523.6650551	95918.1015064	103449.015691	104446.312799	104511.549438	104831.244963	105774.535949	105937.423436	106511.569068	107032.753277	108133.90139	94020.3175492	94024.3163769	95326.4000986	103450.565182	104474.113651	104587.208928	104771.005762	105828.55963	105969.367968	106513.496055	106962.549927	108065.629417
2.61	715.577278435	94088.8902026	94565.1655129	95916.2579194	104485.034708	104598.658919	104707.011349	105602.98141	105841.855403	106595.443492	106993.980889	107739.808355	108944.298293	94069.5062033	94576.4070035	95975.814555	103475.774038	104474.175104	104519.977264	104836.72744	105791.536454	105955.995379	106512.521588	107056.261204	108153.992098	94069.5237613	94576.3828612	95975.8211393	103475.774038	104474.186077	104519.983848	104836.709882	105791.532065	105955.997573	106512.525977	107056.25901	108153.992098	94064.6667877	94087.7423503	95380.6169165	103477.104054	104491.520184	104604.527671	104775.140664	105847.645143	105989.443312	106515.014819	106985.882275	108085.353602
2.58	780.252062409	94158.1783433	94624.5158424	95961.9832639	104504.695246	104621.784961	104711.016761	105634.42554	105865.49721	106613.367985	107020.899452	107767.903303	108938.607316	94121.2056471	94634.1617524	96038.8871742	103507.499096	104507.568169	104531.034396	104844.529763	105812.954983	105978.579318	106514.1874	107083.285116	108177.122529	94121.2210103	94634.1376101	96038.8959532	103507.499096	104507.576948	104531.038785	104844.5144	105812.950594	105978.581513	106514.191789	107083.280726	108177.122529	94111.7901855	94156.9712328	95439.6533972	103508.565742	104510.561803	104628.173867	104781.512012	105871.387909	106013.528458	106517.38734	107012.730606	108108.073616
2.55	852.584316209	94234.0243859	94688.6836399	96011.5669722	104525.76481	104652.607978	104717.219114	105671.641853	105894.566625	106633.678168	107052.084602	107800.815718	108936.173342	94176.0435782	94697.8072003	96108.0546039	103544.899767	104546.810232	104545.521916	104855.02065	105839.566282	106005.695409	106517.134944	107114.582198	108204.043287	94176.0589414	94697.7830581	96108.0633828	103544.899767	104546.819011	104545.528501	104855.003092	105839.561893	106005.695409	106517.139334	107114.577808	108204.043287	94161.9752544	94232.760212	95504.2316123	103545.650371	104531.058538	104659.459976	104790.468772	105900.567061	106042.077718	106521.250094	107043.845525	108134.531283
2.52	933.539728252	94317.2776973	94758.1649183	96065.6652738	104548.293881	104692.337275	104725.958594	105715.477521	105929.967882	106656.736172	107088.394485	107839.471785	108937.828181	94234.1955761	94768.3243989	96184.1574318	103588.755188	104569.460014	104587.14089	104868.573208	105872.263613	106037.817716	106522.132382	107151.006207	108235.605934	94234.2087446	94768.3024514	96184.164016	103588.755188	104569.468793	104587.14528	104868.557845	105872.261418	106037.817716	106522.136771	107151.004013	108235.608129	94215.5380378	94315.9520705	95575.1899549	103589.128295	104553.115739	104699.538238	104802.416971	105936.08903	106075.466394	106527.459031	107080.085175	108165.589137
2.49	1024.07740261	94408.9061606	94833.4820271	96125.0726667	104572.686291	104741.95171	104737.595139	105766.887259	105972.730319	106682.897548	107130.783815	107884.914007	108944.555078	94295.8416102	94846.8590058	96268.1569569	103639.925698	104590.395699	104642.402408	104885.615413	105912.071921	106075.314956	106530.250748	107193.533806	108272.787131	94295.8591682	94846.8370583	96268.1679307	103639.925698	104590.406673	104642.408992	104885.60005	105912.069726	106075.314956	106530.255138	107193.529417	108272.789326	94272.823111	94407.5190809	95653.4919187	103639.837908	104577.154795	104749.380926	104817.799948	105978.980957	106113.900791	106537.236626	107122.408663	108202.206285
2.47	1090.38507783	94475.1743304	94887.1940533	96168.0896941	104590.307909	104752.857405	104775.270154	105805.870342	106005.906104	106702.257405	107162.963185	107919.551493	108952.414465	94338.9727645	94904.2999059	96329.0809195	103678.568596	104606.538058	104684.449357	104899.150414	105943.145139	106103.368203	106538.127693	107225.81194	108301.242017	94338.9881277	94904.2757637	96329.0875037	103678.570791	104606.549032	104684.453747	104899.132856	105943.14075	106103.368203	106538.134277	107225.809746	108301.242017	94313.2591168	94473.7455505	95710.3160951	103678.116478	104594.587665	104788.489111	104830.217822	106012.248921	106142.274471	106546.579661	107154.541944	108230.255142
2.44	1199.65930136	94583.2326645	94973.3971037	96238.5564136	104619.322455	104770.244185	104843.410442	105872.237276	106063.647685	106734.500423	107218.011812	107978.985223	108970.238	94406.8716308	94999.1392831	96428.73557	103744.06202	104634.384999	104756.217561	104923.090707	105997.524368	106149.835372	106555.207208	107281.031757	108350.342881	94406.886994	94999.1151409	96428.744349	103744.06202	104634.395973	104756.221951	104923.077538	105997.522173	106149.835372	106555.211598	107281.027368	108350.342881	94377.5607939	94581.7446264	95803.4128437	103742.958063	104623.371762	104856.690852	104852.516445	106070.135355	106188.493633	106566.65281	107209.522533	108278.706362
2.41	1321.99446013	94702.87048	95066.8625696	96317.4268166	104652.094407	104791.735141	104924.080537	105949.132407	106132.275207	106771.097818	107282.407863	108048.677197	108996.697861	94478.8329725	95105.7842005	96539.5263632	103819.554709	104667.005514	104839.66401	104951.940647	106062.572259	106200.731539	106581.276405	107345.623141	108408.382947	94478.8505304	95105.7622531	96539.5351422	103819.554709	104667.016487	104839.6684	104951.925283	106062.570064	106200.731539	106581.280794	107345.618751	108408.385142	94446.6162915	94701.3187944	95907.187033	103817.64089	104655.948382	104884.474145	104932.741006	106138.918704	106237.862257	106597.047852	107273.852742	108336.044109
2.38	1458.95321348	94835.5692308	95167.928442	96406.1165146	104689.339252	104817.889932	105018.625818	106037.745289	106213.458872	106812.569744	107357.681077	108130.212022	109033.497172	94555.1684435	95225.942171	96662.9742583	103906.163787	104704.891224	104936.353558	104986.380606	106139.972182	106254.252622	106620.527248	107421.122414	108476.933653	94555.1860015	95225.9202235	96662.9830373	103906.163787	104704.900003	104936.360143	104986.365242	106139.967793	106254.252622	106620.531637	107421.120219	108476.935848	94520.8667536	94833.9560923	96023.2342436	103903.227217	104693.015452	104917.579699	105027.290677	106220.266975	106288.185594	106642.303521	107349.062308	108403.846406
2.36	1559.17630328	94932.1183153	95239.7493199	96471.6911445	104717.010613	104838.226451	105090.143821	106103.925669	106275.482403	106843.364229	107414.755455	108192.033636	109064.803034	94608.6983058	95314.4804314	96753.1454101	103970.654213	104733.350499	105006.328655	105015.555368	106199.353238	106290.17184	106656.635214	107478.365787	108529.346389	94608.722448	95314.4431207	96753.1585786	103970.656407	104733.357084	105006.341823	105015.533421	106199.355433	106290.16745	106656.639603	107478.361397	108529.348584	94573.5077436	94930.4656713	96108.3091944	103966.879249	104720.572686	104943.348215	105098.813069	106282.404633	106321.065089	106683.281629	107406.090596	108455.734598
2.33	1724.39022049	95090.4275606	95354.3348295	96581.3955383	104763.297813	104873.58162	105211.489149	106214.582583	106381.901261	106895.133905	107512.099037	108297.394627	109123.622234	94693.3101651	95461.3748013	96901.6156078	104078.317492	104781.27059	105052.062778	105138.259244	106301.404551	106342.905009	106729.654423	107575.988102	108619.464867	94693.3255284	95461.3528538	96901.6243868	104078.317492	104781.281564	105052.071557	105138.243881	106301.400162	106342.905009	106729.658813	107575.985907	108619.467062	94657.5511637	95088.711269	96248.9573163	104072.97109	104766.693085	104988.395383	105220.154008	106359.084679	106398.1775	106764.243625	107503.370531	108545.027852
2.3	1909.28223305	95266.7403099	95477.2801277	96707.0820747	104815.982698	104915.44421	105351.535911	106339.39561	106506.431167	106955.228253	107625.411594	108419.81977	109199.027133	94783.6261701	95627.1176524	97067.8105766	104199.959111	104836.097547	105105.926242	105279.434105	106396.955026	106417.895101	106828.966693	107689.618897	108725.324065	94783.6437281	95627.0935102	97067.8171608	104199.956917	104836.106326	105105.928437	105279.418742	106396.952832	106417.895101	106828.973278	107689.612313	108725.319676	94748.2029648	95264.9603706	96407.2226667	104192.538674	104819.211169	105042.394921	105360.187601	106404.210858	106522.96419	106871.136549	107616.615051	108650.01793
2.28	2044.6059004	95395.3941433	95563.9023747	96801.2696122	104855.049182	104947.388743	105456.420642	106430.293223	106600.763557	107001.377184	107710.973778	108512.073736	109259.962069	94847.3791607	95749.220168	97189.5970488	104289.188717	104876.880323	105147.097488	105384.944339	106430.949452	106508.432775	106910.993142	107775.41153	108805.820775	94847.3967186	95749.1960258	97189.6014383	104289.188717	104876.891297	105147.099682	105384.928976	106430.945062	106508.432775	106910.997531	107775.404946	108805.816386	94812.6385215	95393.5703091	96523.7351636	104280.005898	104858.170111	105084.266291	105465.065747	106434.408372	106617.467771	106957.578826	107702.13334	108729.922059
2.25	2267.56578754	95606.8996495	95700.7733382	96960.7376836	104920.204615	105002.051094	105632.919944	106576.412847	106761.298275	107083.623107	107856.268178	108668.297972	109369.809122	94948.9564089	95951.652593	97390.6709258	104435.4093	104945.119375	105218.139231	105562.227166	106482.295541	106664.810644	107058.699568	107921.083426	108943.422589	94948.9717721	95951.6306456	97390.67751	104435.4093	104945.128154	105218.141425	105562.211803	106482.293347	106664.810644	107058.703957	107921.076842	108943.4182	94915.8420768	95605.0055834	96717.0001333	104422.809261	104923.160938	105157.638854	105641.556271	106482.57208	106778.25708	107110.802845	107847.361898	108866.604274
2.22	2516.89994095	95843.1026358	95845.8921583	97145.5353221	104994.090749	105065.773358	105834.961705	106728.807251	106947.395204	107189.857606	108024.473535	108848.414217	109505.064752	95058.5686234	96179.6779546	97616.3676616	104595.895733	105022.912158	105302.553563	105764.909792	106539.57842	106847.128219	107237.099521	108089.701395	109103.882686	95058.5817919	96179.6560071	97616.3742458	104595.897928	105022.918742	105302.557952	105764.894429	106539.576225	106847.130414	107237.106105	108089.69481	109103.880491	95027.662206	95841.1339483	96935.1162153	104578.66917	104996.889051	105246.499742	105843.595836	106537.967476	106964.619573	107293.576927	108015.499217	109026.114046
2.2	2699.31408495	95947.699855	96015.271704	97284.8819594	105048.717985	105113.853665	105985.3962	106828.687961	107087.323449	107280.985668	108150.890922	108983.235287	109611.338757	95136.6489178	96347.3894931	97782.0512545	104709.829403	105080.796397	105367.864823	105915.695447	106583.666484	106984.679554	107373.935368	108216.415072	109225.13803	95136.6664757	96347.3675456	97782.055644	104709.829403	105080.80737	105367.867018	105915.680084	106583.664289	106984.679554	107373.939758	108216.410683	109225.135835	95107.4609867	96013.7683028	97095.9296662	104688.731307	105051.415328	105316.294869	105994.025943	106581.300547	107104.710229	107432.826996	108141.872709	109146.721939
2.18	2895.81411066	96052.6965179	96201.2720635	97438.6919748	105108.059535	105166.865568	106149.618092	106923.051078	107241.190528	107393.931702	108289.939073	109130.946103	109732.023467	95219.1757681	96528.7984433	97961.0898787	104827.994544	105144.152138	105441.832163	106080.224604	106634.591182	107136.292628	107525.919355	108355.774878	109359.043891	95219.1977156	96528.7677168	97961.0986577	104827.996739	105144.154333	105441.838747	106080.207046	106634.591182	107136.294823	107525.923744	108355.766099	109359.041696	95191.840203	96199.7291568	97270.282507	104802.447697	105110.65592	105396.150714	106158.24125	106631.795075	107258.739719	107586.911354	108280.872576	109279.971571
2.15	3219.31093632	96217.3968646	96507.6345047	97699.5200146	105206.779224	105256.55607	106424.248891	107050.846765	107500.684162	107610.640951	108524.643048	109378.886592	109943.160256	95352.1949519	96828.9080524	98257.1304281	105009.291562	105251.071399	105571.945503	106357.453982	106724.918161	107394.702058	107783.968846	108590.98145	109585.958711	95352.2147046	96828.8795207	98257.1435966	105009.293757	105251.071399	105571.952087	106357.436424	106724.915966	107394.702058	107783.973235	108590.972671	109585.954321	95327.7915678	96506.0301452	97559.6729752	104976.776396	105209.430477	105537.509933	106435.46624	106721.920137	107520.131809	107847.684525	108515.517293	109505.876808
2.13	3455.8606925	96332.3313387	96731.8278393	97895.5020802	105279.91695	105323.737254	106630.97863	107122.156267	107698.685394	107786.773731	108700.336879	109562.948991	110106.159674	95447.6773897	97049.328618	98474.563944	105129.827029	105330.905296	105673.165007	106559.100688	106807.995892	107584.633208	107978.245593	108767.002298	109756.775815	95447.6949476	97049.3044758	98474.5705283	105129.827029	105330.914075	105673.169397	106559.08313	106807.993698	107584.635402	107978.252178	108766.995713	109756.773621	95425.2712247	96730.1817795	97772.9496416	105093.626884	105282.050243	105647.117758	106636.50939	106805.226123	107712.532048	108043.46248	108691.136502	109676.02671
2.11	3710.50613196	96451.7847956	96973.4737964	98110.8198607	105358.8927	105397.623388	106849.733383	107202.951463	107906.940481	107988.727702	108892.928061	109764.387196	110288.988625	95549.1800165	97287.5024865	98709.5685988	105248.108491	105418.796106	105785.931072	106781.048797	106904.779815	107795.157662	108191.04161	108959.968782	109944.441987	95549.1997692	97287.4761495	98709.5795726	105248.115076	105418.798301	105785.937656	106781.033434	106904.77762	107795.159857	108191.046	108959.962198	109944.439793	95528.7600969	96971.7794522	98004.0366743	105210.134991	105361.155484	105767.999995	106858.27753	106902.40071	107924.98788	108257.636797	108883.694764	109863.008121
