R	1A1	2A1	3A1	4A1	5A1	6A1	7A1	8A1	9A1	10A1	11A1	12A1	13A1	1B1	2B1	3B1	4B1	5B1	6B1	7B1	8B1	9B1	10B1	11B1	12B1	1B2	2B2	3B2	4B2	5B2	6B2	7B2	8B2	9B2	10B2	11B2	12B2	1A2	2A2	3A2	4A2	5A2	6A2	7A2	8A2	9A2	10A2	11A2	12A2
6.6	3.47867292537	92719.0853891	93219.353666	94608.8102378	104397.453357	104477.598908	104500.823713	104983.498904	105008.341237	105898.550089	105960.896247	106004.554141	108597.477899	92721.3679253	93225.5977192	94622.1872165	103030.861652	104385.351526	104413.624248	104502.500499	104961.656789	105004.682595	105916.53384	105993.470672	106200.926871	92721.4008465	93225.5516295	94622.200385	103030.863847	104385.360305	104413.644001	104502.469773	104961.654594	105004.686984	105916.542619	105993.464088	106200.926871	92719.0853891	92722.1580339	94025.3939974	103030.997727	104400.607208	104422.049879	104484.148031	104948.330289	105012.449802	105951.335932	105964.778753	106193.436202
6.39	4.65066745609	92723.6921616	93223.973607	94613.4521263	104404.421677	104483.654213	104513.362299	104990.324565	105022.640009	105906.637729	105964.864349	106022.327196	108612.285852	92725.8386235	93230.2593604	94627.1890433	103038.176742	104388.242007	104425.210314	104514.187523	104967.545293	105019.969003	105921.116471	106004.499272	106214.924963	92725.8737395	93230.2132707	94627.2022118	103038.176742	104388.250786	104425.230066	104514.156797	104967.540903	105019.971198	105921.127444	106004.492688	106214.922768	92723.6921616	92726.5826425	94029.9063958	103038.3611	104407.863039	104436.75029	104489.81706	104953.571343	105026.886843	105965.336219	105968.516406	106204.65794
6.2	6.00482592452	92728.8322574	93229.1751557	94618.7590228	104411.558992	104490.517185	104527.136527	104997.986424	105038.850405	105915.195045	105969.214336	106042.58251	108628.325058	92730.9062927	93235.5245567	94632.8075939	103046.442156	104391.314652	104437.663304	104527.478907	104973.58304	105037.779369	105926.00856	106015.940484	106231.517245	92730.9414086	93235.4784671	94632.8207624	103046.442156	104391.323431	104437.683057	104527.450375	104973.580845	105037.779369	105926.017339	106015.9339	106231.517245	92728.8322574	92731.6283642	94034.9960124	103046.681384	104415.327371	104453.248198	104496.256446	104959.481795	105043.246482	105974.044972	105978.69125	106217.997608
6.02	7.61576971413	92734.7427092	93235.2150975	94625.020634	104418.953092	104498.497282	104542.600709	105006.835641	105057.758145	105924.535885	105974.121788	106066.200175	108646.179319	92736.8321077	93241.6566779	94639.3172114	103055.987108	104394.655056	104451.209278	104543.101111	104980.145331	105058.83357	105931.409831	106027.912826	106251.750611	92736.8650289	93241.6105882	94639.3303799	103055.987108	104394.663835	104451.229031	104543.072579	104980.140942	105058.835765	105931.420804	106027.906241	106251.750611	92734.7427092	92737.556374	94040.9130485	103056.289983	104423.094578	104472.228364	104503.758089	104966.353546	105062.316633	105978.978762	105994.159822	106234.394557
5.86	9.36937200166	92741.0284626	93241.6917938	94631.8243475	104425.923606	104506.986561	104558.51262	105016.259882	105078.072717	105933.993047	105979.231158	106091.463899	108664.492282	92743.2275984	93248.2518905	94646.2569992	103066.078551	104397.999849	104464.588452	104560.075279	104986.876618	105081.568947	105936.958149	106039.281611	106274.393809	92743.2649091	93248.2079956	94646.2723624	103066.078551	104398.008628	104464.603815	104560.046747	104986.872229	105081.566753	105936.969123	106039.275027	106274.391614	92741.0284626	92743.9935649	94047.2712285	103066.449464	104430.446978	104492.277371	104511.764524	104973.747646	105082.793616	105984.112274	106009.119213	106253.010396
5.75	10.7849833903	92746.0149262	93246.8604214	94637.313408	104430.86837	104513.645421	104570.697851	105023.732993	105094.280918	105941.200594	105983.205843	106111.488765	108678.56719	92748.3654995	93253.5609818	94651.8667708	103073.990612	104400.504055	104474.409941	104573.77708	104992.117672	105099.706331	105941.248878	106047.375836	106293.018426	92748.4006155	93253.5148922	94651.8799392	103073.995001	104400.510639	104474.42311	104573.750743	104992.115478	105099.708526	105941.257657	106047.367057	106293.018426	92746.0149262	92749.1819451	94052.3586504	103074.418587	104435.712175	104507.969807	104518.081003	104979.67785	105099.126918	105988.108907	106019.906391	106268.566757
5.58	13.4186789187	92754.9738806	93256.2122354	94647.3565671	104438.642161	104525.341224	104591.600615	105037.149477	105123.519328	105953.633832	105990.213668	106147.269714	108703.029832	92757.721703	93263.1542179	94661.8857876	103087.929446	104404.706994	104490.348189	104598.788409	105001.460707	105132.300508	105948.776858	106060.138285	106327.568122	92757.7546242	93263.1081282	94661.8967613	103087.93164	104404.715773	104490.363552	104598.764267	105001.458513	105132.300508	105948.785637	106060.129506	106327.568122	92754.9738806	92758.6698334	94061.5787796	103088.451795	104444.021484	104530.940022	104533.935851	104990.513313	105128.56505	105995.140874	106037.040775	106298.04659
5.45	15.7911996797	92762.929836	93264.6027505	94656.5086592	104444.609676	104535.404136	104609.250765	105049.159129	105149.781662	105964.317857	105996.372126	106179.023303	108723.851391	92766.1868395	93271.8234658	94670.8930264	103100.072977	104408.174693	104502.939449	104621.486475	105009.879754	105161.389676	105955.398408	106069.968554	106359.389749	92766.2219554	93271.7773761	94670.9061949	103100.072977	104408.183472	104502.952617	104621.460138	105009.87756	105161.39187	105955.409382	106069.96197	106359.387554	92762.929836	92767.3127443	94069.8771154	103100.680922	104450.397222	104540.713227	104557.992465	105000.468682	105154.994185	106001.308111	106050.222422	106325.869388
5.33	18.3217421749	92771.4213094	93273.5551206	94666.2730855	104450.076789	104545.438516	104626.747282	105061.785504	105177.409129	105975.208188	106002.739085	106212.082767	108744.899008	92775.2818681	93281.0918794	94680.4423676	103112.486462	104411.550213	104514.701094	104645.448715	105018.924304	105191.782522	105962.314053	106079.028467	106393.447822	92775.3169841	93281.0457898	94680.4577308	103112.488657	104411.558992	104514.712068	104645.426768	105018.922109	105191.782522	105962.320638	106079.021883	106393.447822	92771.4213094	92776.6140791	94078.7746169	103113.180002	104456.235247	104550.565443	104582.648245	105011.299755	105182.810399	106007.72116	106062.267189	106356.286377
5.21	21.2210020167	92781.0913616	93283.8199491	94677.5935869	104455.475865	104556.186189	104645.308252	105076.115003	105208.662316	105987.200282	106009.929074	106249.079605	108767.788017	92785.750808	93291.7298147	94691.3370882	103126.074136	104415.064002	104526.45396	104672.4002	105029.535902	105225.831816	105970.136129	106088.026927	106432.435295	92785.7859239	93291.683725	94691.3480619	103126.074136	104415.07278	104526.462739	104672.380447	105029.533707	105225.831816	105970.147103	106088.020342	106432.435295	92781.0913616	92787.359557	94088.9823819	103126.86205	104461.976704	104561.100226	104609.648014	105024.090737	105214.247945	106014.915538	106074.039808	106391.779815
