 R=[100.0, 28.0, 11.0, 9.6, 8.79]
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
  41   4   -526.57473137      0.46951908   103047.53      0.46952261   103048.30     12.7764
  42   4   -526.56849309      0.47575735   104416.67      0.47576089   104417.45     12.9461
  43   4   -526.56849078      0.47575966   104417.18      0.47576320   104417.95     12.9462
  44   4   -526.56806438      0.47618607   104510.76      0.47618960   104511.54     12.9578
  45   4   -526.56594288      0.47830756   104976.37      0.47831110   104977.15     13.0155
  46   4   -526.56580192      0.47844852   105007.31      0.47845206   105008.09     13.0193
  47   4   -526.56154682      0.48270362   105941.20      0.48270716   105941.97     13.1351
  48   4   -526.56129665      0.48295379   105996.11      0.48295733   105996.88     13.1419
  49   4   -526.56035591      0.48389453   106202.57      0.48389807   106203.35     13.1675

--
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
                 (au)            (au)        (cm-1)           (au)       (cm-1)        (eV)
   1   1   -529.94714359     -0.00000355       -0.78      0.00000000        0.00      0.0000
   2   1   -529.52476872      0.42237132    92699.79      0.42237487    92700.57     11.4934
   3   1   -529.52248642      0.42465361    93200.69      0.42465716    93201.47     11.5555
   4   1   -529.51615050      0.43098954    94591.27      0.43099309    94592.05     11.7279
   5   1   -529.47161222      0.47552781   104366.29      0.47553136   104367.07     12.9399
   6   1   -529.47121738      0.47592265   104452.95      0.47592621   104453.73     12.9506
   7   1   -529.47120861      0.47593143   104454.87      0.47593498   104455.65     12.9508
   8   1   -529.46892497      0.47821506   104956.07      0.47821862   104956.85     13.0130
   9   1   -529.46891786      0.47822218   104957.64      0.47822573   104958.41     13.0132
  10   1   -529.46479791      0.48234213   105861.86      0.48234568   105862.64     13.1253
  11   1   -529.46442785      0.48271219   105943.08      0.48271574   105943.86     13.1354
  12   1   -529.46442277      0.48271727   105944.19      0.48272082   105944.97     13.1355
  13   1   -529.45262176      0.49451828   108534.22      0.49452183   108535.00     13.4566
 
  14   2   -529.52475088      0.42238916    92703.70      0.42239271    92704.48     11.4939
  15   2   -529.52245747      0.42468256    93207.05      0.42468611    93207.83     11.5563
  16   2   -529.51610103      0.43103901    94602.13      0.43104256    94602.91     11.7293
  17   2   -529.47780921      0.46933082   103006.21      0.46933437   103006.99     12.7712
  18   2   -529.47160469      0.47553534   104367.94      0.47553890   104368.72     12.9401
  19   2   -529.47158471      0.47555532   104372.33      0.47555887   104373.11     12.9406
  20   2   -529.47118558      0.47595446   104459.93      0.47595801   104460.71     12.9515
