R	1B1	2B1	3B1	4B1	5B1	6B1	7B1	8B1	9B1	10B1	11B1	12B1
3.66	93168.8371904	93676.8836482	95061.8234321	103337.292131	104422.670992	104608.243376	104947.138542	105682.336852	105786.411722	106223.706143	106432.553811	107470.24742
3.61	93193.5236968	93701.7369553	95085.0306795	103340.342828	104418.788486	104605.344116	104945.016222	105710.581042	105793.241772	106235.167108	106468.009938	107515.316535
3.56	93219.2878236	93727.6612986	95109.2409259	103342.787775	104414.440694	104601.812769	104942.121352	105734.622293	105800.550277	106248.29608	106503.861119	107559.935728
3.52	93240.7063528	93749.1961493	95129.3601653	103344.317514	104410.626225	104598.516261	104939.244039	105749.818717	105807.564686	106260.160879	106532.632048	107595.187743
3.47	93268.4962304	93777.115517	95155.4776463	103345.634361	104405.455402	104593.799751	104934.942337	105762.736993	105818.378202	106276.505155	106568.461281	107638.430829
3.42	93297.4690763	93806.1849317	95182.7298111	103346.365212	104399.860994	104588.413843	104929.857109	105769.610939	105830.820218	106294.701796	106603.875708	107680.631411
3.38	93321.538859	93830.292025	95205.3927613	103346.538597	104395.115952	104583.629296	104925.230584	105771.906643	105840.736082	106310.409596	106631.729233	107713.473594
3.33	93352.7898516	93861.5276544	95234.8660094	103346.29937	104388.907015	104577.06481	104918.762667	105772.110755	105851.902951	106331.286022	106665.725853	107753.213866
3.29	93378.7690635	93887.4278555	95259.4142468	103345.770436	104383.773504	104571.371638	104913.058521	105770.754402	105859.338752	106348.563065	106692.115483	107783.784487
3.25	93405.6700689	93914.1796181	95284.8952513	103345.019832	104378.571955	104565.309749	104906.911037	105768.414802	105865.328214	106366.114451	106717.673303	107813.176529
3.21	93433.5543206	93941.8246425	95311.3858391	103344.115597	104373.383575	104558.927427	104900.35094	105765.307041	105869.910845	106383.652669	106742.302746	107841.302203
3.17	93462.4832716	93970.4243816	95338.9694106	103343.156493	104368.309321	104552.270761	104893.430905	105761.615478	105873.19638	106400.877038	106765.93358	107868.080303
3.13	93492.542517	94000.0293144	95367.7535084	103342.250063	104363.47649	104545.4034	104886.197021	105757.489355	105875.353815	106417.453957	106788.50874	107893.447181
3.09	93523.8395992	94030.7513731	95397.8785961	103341.569691	104359.069439	104538.428496	104878.732689	105753.108641	105876.6136	106433.192483	106810.019449	107917.394057
3.05	93556.4886452	94062.691516	95429.5005008	103341.284374	104355.270333	104531.442619	104871.127893	105748.637943	105877.210571	106447.809493	106830.474484	107939.907765
3.01	93590.6345081	94095.9836226	95462.8101654	103341.607002	104352.322789	104524.584037	104863.50115	105744.279177	105877.430045	106461.089903	106849.937494	107961.030003
2.98	93617.331402	94121.9518609	95489.0439679	103342.427837	104350.84792	104519.62391	104857.854068	105741.22848	105877.526614	106470.070805	106863.948755	107976.004757
2.94	93654.5191834	94158.0642165	95525.9113163	103344.539183	104350.134627	104513.401804	104850.545562	105737.664212	105877.847047	106480.631924	106881.974206	107994.92347
2.91	93683.7444251	94186.4159492	95555.1607002	103347.082894	104350.757935	104509.15497	104845.348403	105735.539697	105878.446213	106487.440027	106895.133905	108008.434329
2.87	93724.6896121	94226.1606099	95596.6062893	103352.119837	104353.516731	104504.269465	104838.977055	105733.750979	105880.06813	106495.020681	106912.439479	108025.753072
2.84	93757.0467568	94257.6332719	95629.7732954	103357.406981	104357.337784	104501.352647	104834.769726	105733.428351	105882.177282	106499.585753	106925.443351	108038.410174
