R	1A1	2A1	3A1	4A1	5A1	6A1	7A1	8A1	9A1	10A1	11A1	12A1	13A1
5.45	15.7911996797	92762.929836	93264.6027505	94656.5086592	104444.609676	104535.404136	104609.250765	105049.159129	105149.781662	105964.317857	105996.372126	106179.023303	108723.851391
5.33	18.3217421749	92771.4213094	93273.5551206	94666.2730855	104450.076789	104545.438516	104626.747282	105061.785504	105177.409129	105975.208188	106002.739085	106212.082767	108744.899008
5.21	21.2210020167	92781.0913616	93283.8199491	94677.5935869	104455.475865	104556.186189	104645.308252	105076.115003	105208.662316	105987.200282	106009.929074	106249.079605	108767.788017
5.1	24.2453624219	92791.1213522	93294.512753	94689.4737486	104460.31967	104566.488328	104663.092281	105090.88784	105240.72756	105999.260413	106017.323175	106286.704141	108790.413656
5.0	27.3311757224	92801.3378962	93305.4382001	94701.6787328	104464.60601	104576.118875	104679.737237	105105.816505	105272.882788	106011.197638	106024.831402	106324.196992	108812.367704
4.9	30.7769274022	92812.7176558	93317.6475738	94715.3783392	104468.747496	104585.867938	104696.654341	105122.270518	105307.996534	106024.144446	106033.221917	106365.001715	108835.62543
4.81	34.2117053917	92824.0666889	93329.8459737	94729.1284247	104472.313959	104594.642533	104711.942944	105138.447992	105342.146786	106036.731316	106041.669495	106404.682728	108857.64093
4.72	37.9888637513	92836.5723533	93343.3085475	94744.3533798	104475.687284	104603.309586	104727.115225	105155.959873	105378.656391	106050.211448	106051.203473	106447.267391	108880.630898
4.64	41.678232289	92848.7510005	93356.376067	94759.0581801	104478.483391	104610.835371	104740.358324	105172.646529	105412.969054	106059.653247	106064.115166	106487.624385	108901.834342
4.55	46.1862411972	92863.7674547	93372.5689052	94777.450154	104481.356314	104618.999828	104754.806339	105192.640668	105453.431397	106071.719962	106079.662749	106535.889051	108926.446227
4.48	49.9963207774	92876.4925938	93386.2904591	94793.0548002	104483.342559	104625.055133	104765.593517	105209.026644	105486.016796	106082.399597	106092.539325	106575.541533	108946.060674
4.4	54.6952725906	92892.2508722	93403.2777954	94812.3817361	104485.300273	104631.582308	104777.322242	105228.548912	105524.082475	106096.325262	106108.141777	106623.110464	108968.870673
4.33	59.1308548634	92907.1861208	93419.363091	94830.6815308	104486.691742	104636.876036	104786.954983	105246.22101	105557.714768	106110.338718	106122.59857	106666.680568	108989.062339
4.26	63.8890648238	92923.2626374	93436.6598867	94850.3508471	104487.727662	104641.715452	104795.907353	105264.307914	105591.178065	106126.413039	106137.816941	106712.004273	109009.330821
4.19	68.9677077737	92940.5704068	93455.2537773	94871.4708908	104488.357554	104646.030323	104804.095952	105282.658188	105623.950016	106144.945477	106153.816642	106759.00696	109029.551018
4.12	74.4150681199	92959.1686869	93475.2040212	94894.1053094	104488.519965	104649.743834	104811.428599	105301.10503	105655.424873	106166.342059	106170.595477	106807.563527	109049.534184
4.06	79.3686104813	92976.2372288	93493.4643104	94914.757872	104488.243427	104652.397282	104816.981307	105316.821609	105680.910267	106184.448716	106188.412428	106850.321575	109066.328382
4.0	84.6447806051	92994.3877808	93512.8439202	94936.6263242	104487.534524	104654.506433	104821.798775	105332.329686	105704.611332	106199.967767	106211.977419	106894.005805	109082.677047
3.94	90.2567468798	93013.6796007	93533.3889403	94959.7391974	104486.347167	104656.014224	104825.826135	105347.48002	105726.190078	106216.002583	106238.281453	106938.471365	109098.411184
3.88	96.195730388	93034.1807259	93555.1564341	94984.1381921	104484.641849	104656.86798	104829.010712	105362.129951	105745.391913	106232.515855	106267.361842	106983.553649	109113.379353
3.82	102.52318395	93055.9482197	93578.2012703	95009.849645	104482.372481	104657.010639	104831.299832	105376.134627	105762.043453	106249.448322	106299.119821	107029.055129	109127.370861
3.77	108.10661855	93075.1039654	93598.4170785	95032.3084839	104480.017518	104656.543158	104832.478411	105387.207122	105773.917031	106263.8283	106327.478137	107067.131783	109138.136092
3.72	114.019265107	93095.229789	93619.589796	95055.7066742	104477.221411	104655.516017	104832.967839	105397.65631	105783.973359	106278.401416	106357.368387	107105.204047	109147.972945
3.66	121.599918803	93120.7283515	93646.3086375	95085.0614059	104473.25331	104653.494655	104832.594732	105409.270907	105793.685111	106296.066928	106394.927081	107150.663827	109158.34751
3.61	128.333400453	93143.1498797	93669.7836439	95110.8189485	104469.416894	104651.113356	104831.44688	105418.100371	105799.887464	106310.852934	106427.321536	107188.158873	109165.642847
