R	1A2	2A2	3A2	4A2	5A2	6A2	7A2	8A2	9A2	10A2	11A2	12A2
3.82	93055.9482197	93113.0928291	94390.9750833	103325.993577	104491.221698	104660.948014	104889.320145	105585.471724	105772.437772	106205.421712	106294.455985	107261.281235
3.77	93075.1039654	93135.6460421	94412.0622058	103330.865914	104488.923799	104660.46517	104890.57554	105620.71935	105784.541798	106212.554637	106322.557516	107306.146239
3.72	93095.229789	93159.2110331	94434.1611063	103335.213706	104486.175976	104659.42047	104891.036437	105655.266851	105794.804432	106220.613745	106352.204149	107351.195602
3.66	93120.7283515	93188.8576661	94462.0563317	103339.671236	104482.267133	104657.379356	104890.522866	105695.090523	105804.751022	106231.743304	106389.499473	107405.223671
3.61	93143.1498797	93214.7205566	94486.4860528	103342.763633	104478.483391	104654.989278	104889.195045	105726.490758	105811.131149	106242.567793	106421.692012	107450.042586
3.56	93166.7082865	93241.6632621	94512.0350945	103345.248086	104474.21022	104651.947359	104887.039804	105755.694052	105815.867412	106254.979083	106454.589064	107494.446693
3.52	93186.4083293	93264.0035847	94533.3021861	103346.806356	104470.44184	104649.030541	104884.711178	105777.231098	105818.534028	106266.220574	106481.206947	107529.54727
3.47	93212.1439244	93292.9237567	94560.9384315	103348.156125	104465.303939	104644.768344	104881.034978	105801.340386	105820.540027	106281.752793	106514.595623	107572.625751
3.42	93239.1941725	93322.9786125	94589.7927611	103348.915507	104459.71392	104639.816996	104876.505022	105814.4518	105829.016137	106299.119821	106547.824082	107614.688063
3.38	93261.8483439	93347.8560619	94613.7901172	103349.11084	104454.95571	104635.366051	104872.273551	105813.962372	105843.453178	106314.18017	106574.099584	107647.438068
3.33	93291.5213138	93380.0266531	94644.9774621	103348.895754	104448.68971	104629.207593	104866.233609	105812.307533	105858.544254	106334.29063	106606.316265	107687.090549
3.29	93316.4207106	93406.6401468	94670.9215581	103348.384379	104443.483771	104623.82388	104860.812586	105810.226914	105868.282343	106351.005818	106631.426358	107717.599717
3.25	93342.4350385	93434.0722808	94697.7984213	103347.642554	104438.172485	104618.069255	104854.893355	105807.555908	105876.126366	106368.056802	106655.818768	107746.94567
3.21	93369.6608664	93462.3515868	94725.6629203	103346.747098	104432.832668	104611.983224	104848.504448	105804.384499	105882.260682	106385.151681	106679.392538	107775.031839
3.17	93398.2079315	93491.5241546	94754.5808976	103345.792383	104427.565276	104605.620654	104841.687566	105800.809257	105886.898181	106401.998553	106702.064268	107801.777017
3.13	93428.1969449	93521.6272949	94784.6247797	103344.881563	104422.477855	104599.051779	104834.493188	105796.93992	105890.273701	106418.255039	106723.776893	107827.117558
3.09	93459.7969022	93552.7531869	94815.9130829	103344.194608	104417.743787	104592.37536	104826.98935	105792.930118	105892.672559	106433.738974	106744.506271	107851.038098
3.05	93493.1855776	93584.9720626	94848.5555447	103343.896122	104413.532069	104585.703332	104819.266038	105788.937875	105894.366903	106448.154068	106764.261183	107873.518884
3.01	93528.5868354	93618.3826855	94882.7079919	103344.196803	104410.057785	104579.18713	104811.428599	105785.160716	105895.672777	106461.289625	106783.09869	107894.601617
2.98	93556.6225246	93644.3070288	94909.4268333	103344.993496	104408.093487	104574.510125	104805.562042	105782.6192	105896.601154	106470.1981	106796.686365	107909.541255
2.94	93596.2113584	93680.1252885	94946.6870412	103347.063141	104406.565944	104568.731358	104797.862872	105779.831872	105898.062855	106480.706545	106814.189466	107928.383152
2.91	93627.7871735	93708.0380719	94976.0307993	103349.567347	104406.423285	104564.892747	104792.292606	105778.37895	105899.557478	106487.516843	106827.002395	107941.830363
2.87	93672.7311882	93746.8170442	95017.2613032	103354.538447	104407.889376	104560.696392	104785.319897	105777.612984	105902.445764	106495.145781	106843.890968	107959.039368
2.84	93708.8435438	93777.2055015	95049.9827758	103359.768528	104410.468203	104558.462141	104780.568271	105778.170449	105905.571083	106499.78767	106856.613912	107971.586733
2.8	93760.6768672	93819.6935952	95096.3775179	103369.219105	104416.251359	104557.112372	104775.109937	105780.861208	105911.485924	106504.62489	106874.038003	107988.185599
2.77	93802.6887009	93853.2073712	95133.5565202	103378.540193	104422.611734	104557.669837	104771.866102	105784.69543	105917.591708	106507.322234	106887.768336	108000.820754
2.74	93847.7556214	93888.3123382	95173.0817063	103390.146011	104430.918849	104559.958957	104769.533087	105790.434692	105925.477431	106509.34579	106902.391931	108013.921194
2.71	93896.2660988	93925.1840761	95215.2822882	103404.411862	104441.330725	104564.438435	104768.301834	105798.454295	105935.487669	106510.838217	106918.257752	108027.818328
2.67	93967.064225	93977.436596	95276.3730514	103428.321428	104458.63191	104574.894206	104768.747368	105813.444412	105952.819581	106512.359176	106942.06197	108048.258
2.64	94020.3175492	94024.3163769	95326.4000986	103450.565182	104474.113651	104587.208928	104771.005762	105828.55963	105969.367968	106513.496055	106962.549927	108065.629417
2.61	94064.6667877	94087.7423503	95380.6169165	103477.104054	104491.520184	104604.527671	104775.140664	105847.645143	105989.443312	106515.014819	106985.882275	108085.353602
2.58	94111.7901855	94156.9712328	95439.6533972	103508.565742	104510.561803	104628.173867	104781.512012	105871.387909	106013.528458	106517.38734	107012.730606	108108.073616
2.55	94161.9752544	94232.760212	95504.2316123	103545.650371	104531.058538	104659.459976	104790.468772	105900.567061	106042.077718	106521.250094	107043.845525	108134.531283
2.52	94215.5380378	94315.9520705	95575.1899549	103589.128295	104553.115739	104699.538238	104802.416971	105936.08903	106075.466394	106527.459031	107080.085175	108165.589137
2.49	94272.823111	94407.5190809	95653.4919187	103639.837908	104577.154795	104749.380926	104817.799948	105978.980957	106113.900791	106537.236626	107122.408663	108202.206285
2.47	94313.2591168	94473.7455505	95710.3160951	103678.116478	104594.587665	104788.489111	104830.217822	106012.248921	106142.274471	106546.579661	107154.541944	108230.255142
2.44	94377.5607939	94581.7446264	95803.4128437	103742.958063	104623.371762	104856.690852	104852.516445	106070.135355	106188.493633	106566.65281	107209.522533	108278.706362
2.41	94446.6162915	94701.3187944	95907.187033	103817.64089	104655.948382	104884.474145	104932.741006	106138.918704	106237.862257	106597.047852	107273.852742	108336.044109
2.38	94520.8667536	94833.9560923	96023.2342436	103903.227217	104693.015452	104917.579699	105027.290677	106220.266975	106288.185594	106642.303521	107349.062308	108403.846406
2.36	94573.5077436	94930.4656713	96108.3091944	103966.879249	104720.572686	104943.348215	105098.813069	106282.404633	106321.065089	106683.281629	107406.090596	108455.734598
2.33	94657.5511637	95088.711269	96248.9573163	104072.97109	104766.693085	104988.395383	105220.154008	106359.084679	106398.1775	106764.243625	107503.370531	108545.027852
2.3	94748.2029648	95264.9603706	96407.2226667	104192.538674	104819.211169	105042.394921	105360.187601	106404.210858	106522.96419	106871.136549	107616.615051	108650.01793
2.28	94812.6385215	95393.5703091	96523.7351636	104280.005898	104858.170111	105084.266291	105465.065747	106434.408372	106617.467771	106957.578826	107702.13334	108729.922059
2.25	94915.8420768	95605.0055834	96717.0001333	104422.809261	104923.160938	105157.638854	105641.556271	106482.57208	106778.25708	107110.802845	107847.361898	108866.604274
2.22	95027.662206	95841.1339483	96935.1162153	104578.66917	104996.889051	105246.499742	105843.595836	106537.967476	106964.619573	107293.576927	108015.499217	109026.114046
2.2	95107.4609867	96013.7683028	97095.9296662	104688.731307	105051.415328	105316.294869	105994.025943	106581.300547	107104.710229	107432.826996	108141.872709	109146.721939
2.18	95191.840203	96199.7291568	97270.282507	104802.447697	105110.65592	105396.150714	106158.24125	106631.795075	107258.739719	107586.911354	108280.872576	109279.971571
2.15	95327.7915678	96506.0301452	97559.6729752	104976.776396	105209.430477	105537.509933	106435.46624	106721.920137	107520.131809	107847.684525	108515.517293	109505.876808
2.13	95425.2712247	96730.1817795	97772.9496416	105093.626884	105282.050243	105647.117758	106636.50939	106805.226123	107712.532048	108043.46248	108691.136502	109676.02671
2.11	95528.7600969	96971.7794522	98004.0366743	105210.134991	105361.155484	105767.999995	106858.27753	106902.40071	107924.98788	108257.636797	108883.694764	109863.008121
2.09	95638.7607815	97232.2124377	98254.3387108	105326.553114	105447.071022	105897.628296	107024.005018	107097.972358	108157.282023	108491.785501	109094.603299	110068.447348
2.08	95696.3684824	97369.950326	98387.1625621	105385.005792	105492.761251	105964.537331	107094.331274	107226.340874	108281.315915	108616.793861	109207.419843	110178.575328
2.07	95755.8066017	97512.9599949	98525.3635419	105443.862303	105540.378467	106032.168439	107172.490579	107360.163335	108410.893737	108747.348344	109325.409404	110293.924609
2.06	95817.1629293	97661.4433611	98669.1457615	105503.313591	105590.00607	106100.008047	107259.115021	107499.650436	108546.223988	108883.644284	109448.787067	110414.701498
2.05	95880.5120864	97815.6155096	98818.7221113	105563.583519	105641.729656	106167.645738	107354.821323	107645.015068	108687.526145	109025.894571	109577.774502	110541.138638
2.04	95945.9374736	97975.689331	98974.3076765	105624.891562	105695.643599	106234.76547	107460.103303	107796.487678	108835.026264	109174.323069	109712.588988	110673.457697
2.03	96013.5181017	98141.8864946	99136.128516	105687.463779	105751.826909	106301.174103	107575.340652	107954.296522	108988.96138	109329.155836	109853.469753	110811.893515
2.02	96083.3571237	98314.4484225	99304.4194675	105751.537203	105810.395909	106366.81677	107700.803324	108118.685214	109149.564136	109490.645269	110000.660414	110956.687513
2.01	96155.5379401	98493.6121472	99479.4197585	105817.333502	105871.440583	106431.74395	107836.655925	108289.903957	109317.091315	109659.034984	110154.404587	111108.083307
2.0	96230.1680932	98679.6300646	99661.3817848	105885.072152	105935.075057	106496.133417	107982.986245	108468.211731	109491.8019	109834.599325	110314.972226	111266.348658
1.99	96307.3331784	98872.7545705	99850.5601368	105954.955069	106001.402485	106560.204646	108139.818426	108653.876294	109673.959259	110017.599466	110482.624507	111431.73596
1.98	96387.1539066	99073.2600082	100047.222574	106027.181975	106070.541383	106624.284653	108307.189779	108847.167601	109863.839929	110208.316335	110657.640161	111604.530531
1.97	96469.7356256	99281.420721	100251.645634	106101.941618	106142.614657	106688.691678	108485.104693	109048.381942	110061.733619	110407.037444	110840.31109	111785.015493
